[2026-02-16 08:00:40,608] [INFO] [app.db.session] PostgreSQL engine created
[2026-02-16 08:00:40,623] [INFO] [app.tools.appointment_tools] App started
[2026-02-16 08:00:40,626] [INFO] [app.main] App started
[2026-02-16 08:00:40,640] [INFO] [app.memory.in_memory] Memory Runner Started
[2026-02-16 08:01:24,871] [INFO] [app.db.session] PostgreSQL engine created
[2026-02-16 08:01:24,885] [INFO] [app.tools.appointment_tools] App started
[2026-02-16 08:01:24,890] [INFO] [app.main] App started
[2026-02-16 08:01:24,902] [INFO] [app.memory.in_memory] Memory Runner Started
[2026-02-16 08:01:36,356] [INFO] [app.db.session] PostgreSQL engine created
[2026-02-16 08:01:36,370] [INFO] [app.tools.appointment_tools] App started
[2026-02-16 08:01:36,376] [INFO] [app.main] App started
[2026-02-16 08:01:36,385] [INFO] [app.memory.in_memory] Memory Runner Started
[2026-02-16 08:01:47,000] [INFO] [app.db.session] PostgreSQL engine created
[2026-02-16 08:01:47,017] [INFO] [app.tools.appointment_tools] App started
[2026-02-16 08:01:47,022] [INFO] [app.main] App started
[2026-02-16 08:01:47,034] [INFO] [app.memory.in_memory] Memory Runner Started
